Tier;Material Group;Raw material;Processstep;Impactcountry;Environmentalimpactgroup;Indicator unit;Material_ePKI_intensity;Valued_Ekpi_intensity
3.0;Animal Fibers;Animal Fibers - wool - conventional;Spinning Weaving and Dyeing;India;Water pollution;kg;0.0128703632034;0.420735692035
3.0;Animal Fibers;Animal Fibers - wool - organic;Spinning Weaving and Dyeing;India;Water pollution;kg;0.0128703632034;0.420735692035
3.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Spinning Weaving and Dyeing;India;Water pollution;kg;0.0128703632034;0.420735692035
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Spinning Weaving and Dyeing;India;Water pollution;kg;0.0140696556142;0.517911890027
3.0;Plant Fibers;Plant Fibers - cotton - organic;Spinning Weaving and Dyeing;India;Water pollution;kg;0.0140408370142;0.485614894851
3.0;Plant Fibers;Plant Fibers - hemp;Spinning Weaving and Dyeing;India;Water pollution;kg;0.0140408370142;0.485614894851
3.0;Plant Fibers;Plant Fibers - linen - organic;Spinning Weaving and Dyeing;India;Water pollution;kg;0.0140408370142;0.485614894851
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Spinning Weaving and Dyeing;India;Water pollution;kg;0.0140696556142;0.517911890027
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;Italy;Water pollution;kg;0.00306988330165;0.116161787323
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Spinning Weaving and Dyeing;Italy;Water pollution;kg;0.00306988330165;0.116161787323
3.0;Animal Fibers;Animal Fibers - mohair - restorative grazing;Spinning Weaving and Dyeing;Italy;Water pollution;kg;0.00306988330165;0.116161787323
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Spinning Weaving and Dyeing;Italy;Water pollution;kg;0.00339110313071;0.134174543727
3.0;Plant Fibers;Plant Fibers - hemp;Spinning Weaving and Dyeing;Italy;Water pollution;kg;0.00339110313071;0.134174543727
3.0;Plastic;Plastic - acetate - eyewear;Spinning Weaving and Dyeing;Italy;Water pollution;kg;0.00683984346142;0.323619018761
3.0;Plastic;Plastic - elastane;Spinning Weaving and Dyeing;Italy;Water pollution;kg;0.00341992173071;0.16180950938
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Spinning Weaving and Dyeing;Italy;Water pollution;kg;0.00341992173071;0.16180950938
3.0;Synthetic Fibers;Synthetic Fibers - polyester - recycled;Spinning Weaving and Dyeing;Italy;Water pollution;kg;0.00341992173071;0.16180950938
3.0;Metal;Metal - palladium - solid;Processing;Italy;Water pollution;kg;21.1693429291;3124.34013461
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.00508478040081;0.489380336165
3.0;Animal Fibers;Animal Fibers - cashmere - regenerated;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.00508478040081;0.489380336165
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.00508478040081;0.489380336165
3.0;Animal Fibers;Animal Fibers - silk - conventional;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.00508478040081;0.489380336165
3.0;Animal Fibers;Animal Fibers - silk - organic;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.00508478040081;0.489380336165
3.0;Animal Fibers;Animal Fibers - wool - organic;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.00508478040081;0.489380336165
3.0;Animal Fibers;Animal Fibers - wool - regenerated;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.00508478040081;0.489380336165
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.00551156159412;0.550199677692
3.0;Plant Fibers;Plant Fibers - linen - organic;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.00551156159412;0.550199677692
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.0110807603882;1.24958686575
3.0;Synthetic Fibers;Synthetic Fibers - polyester - recycled;Spinning Weaving and Dyeing;Japan;Water pollution;kg;0.00554038019412;0.624793432876
4.0;Metal;Metal - gold - 18kt - yellow - Kering responsible;Extraction;Peru;Water pollution;kg;41.1759080822;813.287326933
4.0;Metal;Metal - gold - 9kt - white - Kering responsible;Extraction;Peru;Water pollution;kg;21.9512395665;464.45832741
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.00306904134675;0.0454380456582
3.0;Animal Fibers;Animal Fibers - cashmere - regenerated;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.00306904134675;0.0454380456582
3.0;Animal Fibers;Animal Fibers - mohair - restorative grazing;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.00306904134675;0.0454380456582
3.0;Animal Fibers;Animal Fibers - silk - conventional;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.00306904134675;0.0454380456582
3.0;Animal Fibers;Animal Fibers - silk - organic;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.00306904134675;0.0454380456582
3.0;Animal Fibers;Animal Fibers - wool - conventional;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.00306904134675;0.0454380456582
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.0034189401345;0.0588203242454
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.0033901215345;0.0497646811506
3.0;Plant Fibers;Plant Fibers - cotton - organic;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.0025061490345;0.0308686948984
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.006837880269;0.117640648491
3.0;Synthetic Fibers;Synthetic Fibers - polyester - recycled;Spinning Weaving and Dyeing;Portugal;Water pollution;kg;0.0034189401345;0.0588203242454
3.0;Synthetic Fibers;Synthetic Fibers - nylon - Econyl;Processing;Slovenia;Water pollution;kg;0.0041580845;0.211922375966
4.0;Metal;Metal - gold - 24kt - conventional;Extraction;South Africa;Water pollution;kg;34.7108867881;603.446195741
4.0;Metal;Metal - gold - 9kt - white - Kering responsible;Extraction;South Africa;Water pollution;kg;7.6091395669;127.49313745
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Spinning Weaving and Dyeing;Spain;Water pollution;kg;0.00307152367773;0.0542353918381
3.0;Animal Fibers;Animal Fibers - silk - conventional;Spinning Weaving and Dyeing;Spain;Water pollution;kg;0.00307152367773;0.0542353918381
3.0;Animal Fibers;Animal Fibers - wool - conventional;Spinning Weaving and Dyeing;Spain;Water pollution;kg;0.00307152367773;0.0542353918381
3.0;Animal Fibers;Animal Fibers - wool - regenerated;Spinning Weaving and Dyeing;Spain;Water pollution;kg;0.00307152367773;0.0542353918381
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Spinning Weaving and Dyeing;Spain;Water pollution;kg;0.00339301556916;0.0602417509783
3.0;Plant Fibers;Plant Fibers - cotton - recycled;Spinning Weaving and Dyeing;Spain;Water pollution;kg;0.00339301556916;0.0602417509783
3.0;Plant Fibers;Plant Fibers - hemp;Spinning Weaving and Dyeing;Spain;Water pollution;kg;0.00339301556916;0.0602417509783
3.0;Plant Fibers;Plant Fibers - linen - conventional;Spinning Weaving and Dyeing;Spain;Water pollution;kg;0.00339301556916;0.0602417509783
3.0;Plastic;Plastic - pp;Spinning Weaving and Dyeing;Spain;Water pollution;kg;0.00342183416916;0.0726383615966
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;Switzerland;Water pollution;kg;0.00306689012696;0.408473084124
3.0;Animal Fibers;Animal Fibers - wool - organic;Spinning Weaving and Dyeing;Switzerland;Water pollution;kg;0.00306689012696;0.408473084124
3.0;Animal Fibers;Animal Fibers - wool - regenerated;Spinning Weaving and Dyeing;Switzerland;Water pollution;kg;0.00306689012696;0.408473084124
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Spinning Weaving and Dyeing;Switzerland;Water pollution;kg;0.00341643212704;0.590223011564
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Spinning Weaving and Dyeing;Switzerland;Water pollution;kg;0.00338761352704;0.541780255543
3.0;Plant Fibers;Plant Fibers - cotton - recycled;Spinning Weaving and Dyeing;Switzerland;Water pollution;kg;0.00338761352704;0.541780255543
3.0;Plastic;Plastic - pp;Spinning Weaving and Dyeing;Switzerland;Water pollution;kg;0.00341643212704;0.590223011564
3.0;Synthetic Fibers;Synthetic Fibers - acrylic;Spinning Weaving and Dyeing;Switzerland;Water pollution;kg;0.00341643212704;0.590223011564
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Spinning Weaving and Dyeing;Switzerland;Water pollution;kg;0.00341643212704;0.590223011564
3.0;Metal;Metal - gold - 9kt - white - Kering responsible;Processing;Switzerland;Water pollution;kg;0.500728599961;363.238055621
4.0;Metal;Metal - palladium - solid;Extraction;Switzerland;Water pollution;kg;5.8540152812;2305.80987734
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;Turkey;Water pollution;kg;0.00306464323601;0.0908769654324
3.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Spinning Weaving and Dyeing;Turkey;Water pollution;kg;0.00306464323601;0.0908769654324
3.0;Cellulose based Fibers;Cellulose based Fibers - acetate;Spinning Weaving and Dyeing;Turkey;Water pollution;kg;0.00341381258101;0.132816239642
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Spinning Weaving and Dyeing;Turkey;Water pollution;kg;0.00341381258101;0.132816239642
3.0;Plant Fibers;Plant Fibers - cotton - organic;Spinning Weaving and Dyeing;Turkey;Water pollution;kg;0.00338499398101;0.116157298464
3.0;Plant Fibers;Plant Fibers - cotton - recycled;Spinning Weaving and Dyeing;Turkey;Water pollution;kg;0.00338499398101;0.116157298464
3.0;Plant Fibers;Plant Fibers - hemp;Spinning Weaving and Dyeing;Turkey;Water pollution;kg;0.00338499398101;0.116157298464
3.0;Plant Fibers;Plant Fibers - linen - conventional;Spinning Weaving and Dyeing;Turkey;Water pollution;kg;0.00338499398101;0.116157298464
3.0;Synthetic Fibers;Synthetic Fibers - nylon - Econyl;Spinning Weaving and Dyeing;Turkey;Water pollution;kg;0.00341381258101;0.132816239642
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Spinning Weaving and Dyeing;Turkey;Water pollution;kg;0.00341381258101;0.132816239642
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;United Kingdom;Water pollution;kg;0.00306714376906;0.162240324551
3.0;Animal Fibers;Animal Fibers - cashmere - regenerated;Spinning Weaving and Dyeing;United Kingdom;Water pollution;kg;0.00306714376906;0.162240324551
3.0;Animal Fibers;Animal Fibers - silk - conventional;Spinning Weaving and Dyeing;United Kingdom;Water pollution;kg;0.00306714376906;0.162240324551
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Spinning Weaving and Dyeing;United Kingdom;Water pollution;kg;0.00341672783661;0.213611539747
3.0;Plant Fibers;Plant Fibers - linen - conventional;Spinning Weaving and Dyeing;United Kingdom;Water pollution;kg;0.00338790923661;0.174607043252
3.0;Animal Fibers;Animal Fibers - silk - conventional;Spinning Weaving and Dyeing;United States;Water pollution;kg;0.00291350352974;0.0676762821615
3.0;Animal Fibers;Animal Fibers - wool - organic;Spinning Weaving and Dyeing;United States;Water pollution;kg;0.00291350352974;0.0676762821615
3.0;Plant Fibers;Plant Fibers - cotton - organic;Spinning Weaving and Dyeing;United States;Water pollution;kg;0.00325426962159;0.094461253362
3.0;Plant Fibers;Plant Fibers - hemp;Spinning Weaving and Dyeing;United States;Water pollution;kg;0.00325426962159;0.094461253362
3.0;Plant Fibers;Plant Fibers - linen - conventional;Spinning Weaving and Dyeing;United States;Water pollution;kg;0.00325426962159;0.094461253362
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Spinning Weaving and Dyeing;United States;Water pollution;kg;0.00656617644318;0.203299290204
4.0;Metal;Metal - gold - 18kt - yellow - Kering responsible;Extraction;United States;Water pollution;kg;97.9184708515;6666.34471329
3.0;Fur;Fur;Tanning - RH_WB;Argentina;Water pollution;kg;0.0006196535;0.0179294413291
4.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Animal rearing;Argentina;Water pollution;kg;0.418688590582;0.136781456443
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB - Metal-free;Australia;Water pollution;kg;0.00063967214346;0.00115587450165
3.0;Leather;Leather - kangaroo;Tanning - RH_WB;Australia;Water pollution;kg;0.0006204148;0.00475492122145
3.0;Metal;Metal - brass - conventional;Processing;Austria;Water pollution;kg;1.07995583858e-05;0.000539043080797
4.0;Paper;Paper - paper and cardboard - uncertified;Production;Austria;Water pollution;kg;4.90065100738e-05;0.00197641438423
3.0;Paper;Paper - paper and cardboard - recycled;Processing;Belgium;Water pollution;kg;0.000474216955563;0.0160917181201
3.0;Plastic;Plastic - polyurethane;Processing;Belgium;Water pollution;kg;0.0027115588;0.747331645453
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Bolivia;Water pollution;kg;0.32944070866;0.090892898527
3.0;Metal;Metal - steel - recycled;Processing;Brazil;Water pollution;kg;0.00679557886068;0.0543627068104
4.0;Metal;Metal - steel;Extraction;Brazil;Water pollution;kg;0.0181539803503;0.0772415049006
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Bulgaria;Water pollution;kg;0.0006204148;0.0608875094111
3.0;Fur;Fur - fox;Abattoir;Canada;Water pollution;kg;0.0103739381784;3.44450616399
4.0;Metal;Metal - steel;Extraction;Canada;Water pollution;kg;0.00733965254137;1.71933454707
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Chile;Water pollution;kg;0.0006204148;0.0164490119922
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Chile;Water pollution;kg;0.329440488353;0.135845636513
3.0;Fur;Fur;Tanning - RH_WB;China;Water pollution;kg;0.0006196535;0.360488175733
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;China;Water pollution;kg;0.0006204148;0.360512345745
3.0;Leather;Leather - beef - calf - conventional;Tanning - WB_FL;China;Water pollution;kg;0.0003540544;0.162541884857
3.0;Leather;Leather - goat - conventional;Tanning - RH_WB;China;Water pollution;kg;0.0006204148;0.360512345745
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB;China;Water pollution;kg;0.0006204148;0.360512345745
3.0;Paper;Paper - paper and cardboard - uncertified;Processing;China;Water pollution;kg;0.00314073399172;0.00822002196007
3.0;Plastic;Plastic - polyurethane;Processing;China;Water pollution;kg;0.0142988315075;2.68138736939
4.0;Leather;Leather - goat - conventional;Animal rearing;China;Water pollution;kg;0.0530616239;0.153177505923
3.0;Fur;Fur - mink;Tanning - RH_WB;Denmark;Water pollution;kg;0.0006204148;0.165501514046
3.0;Fur;Fur - fox;Tanning - RH_WB;Finland;Water pollution;kg;0.0006204148;0.0424939461796
3.0;Fur;Fur - mink;Tanning - RH_WB;Finland;Water pollution;kg;0.0006204148;0.0424939461796
4.0;Fur;Fur - mink;Animal rearing;Finland;Water pollution;kg;3.87268319093;29.6435107515
3.0;Fur;Fur - lamb;Tanning - RH_WB;France;Water pollution;kg;0.0006196535;0.141967155765
3.0;Leather;Leather - goat - conventional;Tanning - RH_WB;France;Water pollution;kg;0.0006204148;0.141982331663
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL;France;Water pollution;kg;0.0003540544;0.0646145396295
3.0;Paper;Paper - paper and cardboard - uncertified;Processing;France;Water pollution;kg;0.000475503264738;0.00495552091469
3.0;Wood;Wood - MDF;Processing;France;Water pollution;kg;0.000933171567824;0.0847894248374
4.0;Paper;Paper - paper and cardboard - uncertified;Production;France;Water pollution;kg;4.90132748555e-05;0.00146675963643
3.0;Metal;Metal - brass - conventional;Processing;Germany;Water pollution;kg;1.72278498982e-05;0.00202766850969
3.0;Plastic;Plastic - polyurethane;Processing;Germany;Water pollution;kg;0.0027115588;0.42290990652
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Germany;Water pollution;kg;0.433545173068;0.14591107328
4.0;Animal Fibers;Animal Fibers - wool - organic;Animal rearing;Germany;Water pollution;kg;0.433201584758;0.153374846184
4.0;Metal;Metal - steel;Extraction;Germany;Water pollution;kg;0.0047787715;0.310109993664
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB;Greece;Water pollution;kg;0.0006204148;0.0609610572993
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL;Greece;Water pollution;kg;6.37813e-05;0.00288904440057
4.0;Leather;Leather - goat - conventional;Animal rearing;Greece;Water pollution;kg;7.2978892374;16.4000210983
3.0;Leather;Leather - beef - calf - conventional;Tanning - WB_FL;India;Water pollution;kg;0.0003540544;0.100155679836
3.0;Leather;Leather - goat - conventional;Tanning - WB_FL;India;Water pollution;kg;0.0003540544;0.100155679836
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB - Metal-free;India;Water pollution;kg;0.00142778242323;0.117504630858
3.0;Metal;Metal - steel;Processing;India;Water pollution;kg;0.000299089400467;0.0170302763682
4.0;Leather;Leather - goat - conventional;Animal rearing;India;Water pollution;kg;0.0530616239;0.0875354806581
4.0;Metal;Metal - brass - conventional;Extraction;India;Water pollution;kg;1.24916892705;286.81867223
3.0;Fur;Fur - lamb;Tanning - WB_FL;Italy;Water pollution;kg;0.0003540544;0.0889399211846
3.0;Leather;Leather - beef - calf - conventional;Tanning - WB_FL - Metal-free;Italy;Water pollution;kg;0.000355254;0.0360986770324
3.0;Leather;Leather - beef - calf - salpa;Tanning - RH_WB;Italy;Water pollution;kg;1.0335e-06;0.000339157085882
3.0;Leather;Leather - kangaroo;Tanning - WB_FL;Italy;Water pollution;kg;0.0003532931;0.0889214383494
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL - Metal-free;Italy;Water pollution;kg;0.000355254;0.0360986770324
3.0;Leather;Leather - sheep/goat - conventional;Tanning - RH_WB - Metal-free;Italy;Water pollution;kg;0.0005948079;0.0302750984139
3.0;Leather;Leather - sheep/goat - conventional;Tanning - WB_FL;Italy;Water pollution;kg;0.0003540544;0.0889399211846
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Italy;Water pollution;kg;0.432425895513;0.592611082299
4.0;Metal;Metal - brass - conventional;Extraction;Italy;Water pollution;kg;0.6210690664;70.0264229478
4.0;Metal;Metal - steel;Extraction;Italy;Water pollution;kg;0.0047787715;0.215914114154
4.0;Paper;Paper - paper and cardboard - uncertified;Production;Italy;Water pollution;kg;4.90141383232e-05;0.00198752079705
3.0;Plastic;Plastic - polyurethane;Processing;Japan;Water pollution;kg;0.00550774916826;1.30932249907
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Japan;Water pollution;kg;0.880653743229;1.51448426737
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB;Lebanon;Water pollution;kg;0.0006204148;0.119779566525
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Lithuania;Water pollution;kg;0.0006204148;0.0430342063468
4.0;Metal;Metal - steel;Extraction;Mauritania;Water pollution;kg;0.0139012165584;0.013450994792
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Mongolia;Water pollution;kg;0.880653763516;0.439989367723
4.0;Leather;Leather - goat - conventional;Animal rearing;Mongolia;Water pollution;kg;0.0530616239;0.162416144636
4.0;Leather;Leather - goat - conventional;Animal rearing;Morocco;Water pollution;kg;7.2978892374;1.32979631081
3.0;Leather;Leather - goat - conventional;Tanning - RH_WB;Nepal;Water pollution;kg;0.0006204148;0.0478467241931
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Netherlands;Water pollution;kg;0.0006204148;0.524020292673
3.0;Fur;Fur;Tanning - RH_WB;New Zealand;Water pollution;kg;0.0006196535;0.00569188237581
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;New Zealand;Water pollution;kg;1.19340399812;3.15489265981
4.0;Leather;Leather - goat - conventional;Animal rearing;New Zealand;Water pollution;kg;0.0530616239;0.16236963919
3.0;Leather;Leather - goat - conventional;Tanning - WB_FL;Niger;Water pollution;kg;0.0003540544;0.00178173831123
3.0;Leather;Leather - goat - conventional;Tanning - WB_FL;Nigeria;Water pollution;kg;0.0003540544;0.0383969997485
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL;Nigeria;Water pollution;kg;0.0003540544;0.0383969997485
3.0;Leather;Leather - sheep/goat - conventional;Tanning - RH_WB - Metal-free;Nigeria;Water pollution;kg;0.00124343557975;0.037743318791
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Poland;Water pollution;kg;1.19340421032;0.234523365746
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL;Portugal;Water pollution;kg;6.37813e-05;0.00300991218276
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Portugal;Water pollution;kg;0.880653607127;0.839858071844
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Romania;Water pollution;kg;0.0006204148;0.110106903317
4.0;Leather;Leather - goat - conventional;Animal rearing;Senegal;Water pollution;kg;0.0530616239;0.0243100915569
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Slovenia;Water pollution;kg;0.0006204148;0.0674132345897
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB - Metal-free;Slovenia;Water pollution;kg;0.0005948079;0.00973808029848
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB;South Africa;Water pollution;kg;0.0006196535;0.0203607695787
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL;South Africa;Water pollution;kg;0.0003540544;0.00988230534569
3.0;Leather;Leather - goat - conventional;Abattoir;Spain;Water pollution;kg;0.0003403463;0.00095232797003
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL - Metal-free;Spain;Water pollution;kg;0.000355254;0.0159589298452
